Fecha,Consumo_kWh,Produccion,Temperatura,Humedad,Horas_Turno
2023-06-15,519.25,405.52,25.53,54.93,6
2023-06-16,734.07,663.34,23.32,55.78,8
2023-06-19,706.38,589.92,27.23,54.48,8
2023-06-20,831.67,748.73,23.32,63.18,8
2023-06-21,751.34,665.02,24.48,52.56,10
2023-06-22,564.98,484.47,21.11,51.46,6
2023-06-23,833.91,769.81,22.2,49.23,8
2023-06-26,434.15,316.88,19.91,47.84,8
2023-06-27,380.42,215.9,24.97,46.78,10
2023-06-28,425.47,263.03,18.47,48.56,8
2023-06-29,757.42,705.65,24.35,52.65,8
2023-06-30,637.0,523.31,21.43,54.67,8
2023-07-03,467.8,312.89,25.51,53.26,8
2023-07-04,621.36,550.73,24.25,49.17,8
2023-07-05,479.72,306.62,27.46,57.5,10
2023-07-06,772.43,687.42,24.19,56.7,8
2023-07-07,612.91,512.31,17.28,52.2,10
2023-07-10,569.43,466.71,21.8,49.74,12
2023-07-11,498.59,411.06,18.48,55.74,8
2023-07-12,698.83,641.2,20.45,53.94,8
2023-07-13,575.32,453.27,26.53,45.76,6
2023-07-14,390.49,261.35,23.91,52.66,10
2023-07-17,428.23,282.6,19.9,54.31,8
2023-07-18,870.97,873.33,18.96,48.5,8
2023-07-19,861.39,836.01,22.1,53.95,6
2023-07-20,762.18,689.79,18.35,45.73,10
2023-07-21,561.81,386.11,19.99,59.68,8
2023-07-24,874.51,878.42,22.94,59.24,8
2023-07-25,842.48,745.13,25.47,51.74,8
2023-07-26,786.54,701.82,23.83,54.82,12
2023-07-27,614.62,514.55,15.13,40.95,8
2023-07-28,515.43,390.57,22.91,47.22,8
2023-07-31,428.31,267.47,22.22,51.53,10
2023-08-01,886.82,831.82,23.24,47.64,12
2023-08-02,657.27,519.04,26.85,56.57,8
2023-08-03,445.56,341.65,15.81,62.99,8
2023-08-04,564.13,414.17,20.23,47.12,10
2023-08-07,681.38,605.45,23.77,48.81,10
2023-08-08,445.59,323.74,17.26,54.18,8
2023-08-09,822.22,799.63,26.43,61.06,8
2023-08-10,811.36,730.96,23.11,46.89,10
2023-08-11,813.64,703.62,24.54,54.25,10
2023-08-14,601.89,502.47,20.29,62.11,10
2023-08-15,714.39,639.12,24.44,44.74,8
2023-08-16,667.24,608.87,25.21,46.59,8
2023-08-17,738.06,654.89,22.7,50.88,12
2023-08-18,371.59,259.11,22.7,50.4,10
2023-08-21,576.95,491.07,22.81,57.06,10
2023-08-22,370.41,229.13,19.41,54.21,6
2023-08-23,671.62,545.79,21.56,44.13,8
2023-08-24,619.21,430.9,21.54,55.58,10
2023-08-25,415.98,301.17,23.15,50.11,6
2023-08-28,466.92,272.38,25.0,59.37,12
2023-08-29,692.68,611.35,18.82,49.86,8
2023-08-30,455.63,319.42,21.62,49.82,10
2023-08-31,908.79,847.58,26.44,55.71,10
2023-09-01,683.69,606.74,19.77,56.81,8
2023-09-04,550.59,442.81,19.53,55.24,8
2023-09-05,685.52,613.64,22.61,44.57,8
2023-09-06,334.23,215.96,24.53,55.69,8
2023-09-07,866.33,870.99,22.03,47.83,8
2023-09-08,651.9,537.61,25.99,54.18,8
2023-09-11,817.46,747.91,24.57,45.88,12
2023-09-12,388.8,257.91,24.53,55.23,8
2023-09-13,636.36,540.66,23.66,48.97,8
2023-09-14,667.04,543.49,28.98,46.59,8
2023-09-15,893.93,856.48,21.38,56.57,8
2023-09-18,655.49,600.21,15.99,54.21,8
2023-09-19,663.68,531.44,26.81,49.93,8
2023-09-20,541.59,386.88,20.63,60.26,8
2023-09-21,556.93,432.1,22.32,50.8,8
2023-09-22,698.15,564.47,25.93,53.16,12
2023-09-25,628.47,507.24,17.19,54.34,8
2023-09-26,381.05,215.13,18.25,49.9,6
2023-09-27,842.83,778.4,17.2,55.36,10
2023-09-28,887.68,827.31,19.62,50.33,10
2023-09-29,449.19,298.17,23.32,50.94,8
2023-10-02,644.0,587.83,23.57,59.81,8
2023-10-03,435.74,276.0,22.83,47.8,8
2023-10-04,702.33,670.57,17.76,40.94,8
2023-10-05,481.85,396.86,15.07,61.05,8
2023-10-06,760.62,661.6,22.16,65.75,8
2023-10-09,781.89,708.9,20.58,50.97,6
2023-10-10,836.46,738.05,23.38,43.32,8
2023-10-11,427.78,275.42,24.11,51.45,12
2023-10-12,851.14,841.21,22.41,51.57,8
2023-10-13,482.94,361.15,24.28,52.05,8
2023-10-16,379.83,226.19,22.69,47.43,8
2023-10-17,675.08,588.4,23.59,55.9,8
2023-10-18,590.39,459.65,19.89,55.62,8
2023-10-19,829.8,780.85,21.46,45.53,10
2023-10-20,833.67,765.78,22.59,56.5,10
2023-10-23,527.04,422.0,24.46,63.26,12
2023-10-24,925.29,867.03,20.82,53.86,12
2023-10-25,539.02,403.64,23.56,51.31,12
2023-10-26,645.01,560.54,21.2,52.29,12
2023-10-27,484.68,379.18,21.65,56.08,6
2023-10-30,892.11,855.23,24.49,44.35,8
2023-10-31,431.62,315.23,16.02,53.82,8
2023-11-01,417.91,231.44,18.11,51.05,8
2023-11-02,582.94,504.57,17.55,62.24,6
2023-11-03,914.39,894.66,15.0,52.13,10
2023-11-06,806.93,824.17,19.97,61.34,8
2023-11-07,765.47,724.03,24.25,47.48,8
2023-11-08,855.68,823.55,21.15,55.94,8
2023-11-09,849.2,825.41,22.59,54.6,8
2023-11-10,691.67,563.2,25.27,48.65,8
2023-11-13,544.03,421.15,25.98,53.89,10
2023-11-14,826.32,740.41,21.79,59.06,8
2023-11-15,749.01,663.16,26.06,51.38,10
2023-11-16,571.46,461.56,22.28,44.54,8
2023-11-17,401.36,266.13,19.49,52.91,8
2023-11-20,780.53,722.75,20.22,48.49,8
2023-11-21,548.57,383.72,17.56,51.29,10
2023-11-22,836.97,855.77,19.34,52.59,10
2023-11-23,442.33,368.68,20.93,44.47,8
2023-11-24,432.02,285.93,24.41,44.92,12
2023-11-27,837.54,781.78,27.16,55.41,8
2023-11-28,460.9,307.3,17.85,50.39,10
2023-11-29,473.44,325.49,23.18,40.18,8
2023-11-30,681.68,619.57,18.88,56.92,8
2023-12-01,890.3,812.19,23.42,54.36,10
2023-12-04,492.09,337.5,21.61,49.43,8
2023-12-05,529.56,417.23,16.51,46.42,8
2023-12-06,826.32,744.18,24.78,57.18,8
2023-12-07,914.5,880.28,20.18,54.75,8
2023-12-08,628.51,550.52,20.4,64.91,10
2023-12-11,455.7,300.73,18.79,55.1,10
2023-12-12,368.34,209.76,20.04,54.94,10
2023-12-13,487.13,360.76,23.28,52.17,8
2023-12-14,463.51,292.28,21.43,57.08,8
2023-12-15,681.35,674.36,22.99,56.13,8
2023-12-18,387.34,285.28,23.09,59.26,8
2023-12-19,620.78,554.43,25.96,50.39,8
2023-12-20,757.64,685.98,20.97,50.82,12
2023-12-21,682.37,606.78,17.57,50.6,10
2023-12-22,441.7,339.84,25.2,56.95,10
2023-12-25,786.3,762.89,21.01,60.49,8
2023-12-26,747.93,700.78,25.34,50.71,8
2023-12-27,841.07,717.29,23.15,50.88,8
2023-12-28,472.31,291.74,21.61,54.57,8
2023-12-29,415.78,286.63,23.05,51.77,8
2024-01-01,883.78,849.29,27.85,57.76,8
2024-01-02,565.3,478.3,28.23,41.74,8
2024-01-03,495.69,410.66,22.21,48.87,12
2024-01-04,632.52,542.01,22.48,49.09,8
2024-01-05,732.96,664.0,25.23,41.4,12
2024-01-08,897.15,868.94,19.46,48.18,8
2024-01-09,480.39,400.51,23.0,48.42,8
2024-01-10,865.08,847.37,21.92,51.99,8
2024-01-11,370.83,217.4,22.94,58.56,8
2024-01-12,669.56,588.64,19.5,51.77,6
2024-01-15,721.83,643.78,17.23,47.85,8
2024-01-16,387.63,274.13,15.78,52.72,12
2024-01-17,448.42,298.24,18.65,58.25,8
2024-01-18,573.07,493.38,20.62,48.12,8
2024-01-19,923.59,876.36,21.12,48.45,8
2024-01-22,702.84,617.23,27.81,55.79,8
2024-01-23,859.55,853.12,25.32,51.89,8
2024-01-24,801.6,763.05,19.11,56.24,8
2024-01-25,648.1,527.17,23.04,52.93,12
2024-01-26,823.99,749.33,20.78,56.51,10
2024-01-29,368.09,212.49,21.15,47.82,10
2024-01-30,454.9,276.4,22.56,52.94,8
